Championship Title,Team 1,Team 2,Score,Timing
الدوري المصري,المصري,بيراميدز,1 - 0,17:00
الدوري المصري,بتروجيت,فاركو,1 - 2,17:00
الدوري المصري,غزل المحلة,الزمالك,0 - 4,20:00
الدوري الإسباني,اشبيلية,أوساسونا,1 - 1,22:00
دوري القسم الثاني-أ,أبو قير للاسمدة,القناة,1 - 2,14:30
دوري القسم الثاني-أ,لافيينا أف سي,الداخلية,2 - 3,14:30
دوري القسم الثاني-أ,ديروط,منتخب السويس,1 - 3,14:30
دوري القسم الثاني-أ,راية الرياضي,بترول أسيوط,0 - 0,14:30
دوري القسم الثاني-أ,المقاولون العرب,أسوان,2 - 0,14:30
دوري القسم الثاني-أ,وادي دجلة,المصرية للاتصالات,0 - 0,17:00
دوري أبطال آسيا للنخبة,بيرسبوليس,الشرطة,2 - 1,16:00
دوري أبطال آسيا للنخبة,أهلي جدة,الإستقلال,2 - 2,18:00
دوري أبطال آسيا للنخبة,الوصل,الريان,1 - 1,18:00
دوري أبطال آسيا للنخبة,النصر,السد القطري,1 - 2,20:00
الدوري الإيطالي,روما,أتالانتا,0 - 2,21:45
الدوري التركي,فنربخشة,غازي عنتاب بي.بي.كي,3 - 1,19:00
الدوري التركي,هاتاي سبور,بشكتاش,1 - 1,19:00
الدوري البرتغالي,فيتوريا جيماريش,جل فيسنتي,4 - 0,20:45
الدوري البرتغالي,بورتو,كازا بيا,2 - 0,22:45
