Championship Title,Team 1,Team 2,Score,Timing
Egyptian league,Egyptian,Pyramids,1 - 0,17:00
Egyptian league,Petrojet,Farco,1 - 2,17:00
Egyptian league,Spinning,Zamalek,0 - 4,20:00
Spanish league,Seville,Osasuna,1 - 1,22:00
The second section league-a,Abu Qir for fertilizer,Canal,1 - 2,14:30
The second section league-a,Lavina FC,Interior,2 - 3,14:30
The second section league-a,Dairout,Suez team,1 - 3,14:30
The second section league-a,Raya Al -Riyadi,Assiut oil,0 - 0,14:30
The second section league-a,Arab contractors,Aswan,2 - 0,14:30
The second section league-a,Wadi Degla,Telecom Egypt,0 - 0,17:00
The AFC Champions League,Persepolis,Police,2 - 1,16:00
The AFC Champions League,Ahli Jeddah,Independence,2 - 2,18:00
The AFC Champions League,Connection,Al Rayyan,1 - 1,18:00
The AFC Champions League,Victory,The Qatari dam,1 - 2,20:00
Italian league,Rome,Atalanta,0 - 2,21:45
Turkish League,Fenerbah,Gaziantep BBK,3 - 1,19:00
Turkish League,Hatay Spor,Besiktas,1 - 1,19:00
Portuguese league,Vitoria Gimarish,Vicente gel,4 - 0,20:45
Portuguese league,Porto,Kaza Pia,2 - 0,22:45
